               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029671,              0.0121,                   0,                0.21,              0.7619,             0.23694,             0.11516,            0.044936,           0.0067775,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.029419,            0.011745,                   0,             0.26133,             0.47619,             0.27384,             0.11712,            0.049502,            0.006988,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02825,            0.011179,                   0,              0.2188,             0.52381,              0.1701,            0.074308,            0.052503,           0.0074242,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.027799,            0.011044,                   0,             0.34464,             0.42857,             0.30362,             0.14565,            0.048013,            0.006262,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029296,             0.01116,                   0,             0.25084,             0.57143,             0.18912,            0.085228,            0.050622,           0.0075497,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.028088,            0.011119,                   0,             0.21116,             0.52381,             0.15834,            0.063921,              0.0552,            0.007318,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.027806,            0.011184,                   0,             0.23339,             0.42857,             0.17626,             0.09002,            0.053403,           0.0077679,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027008,            0.010897,                   0,             0.21608,             0.47619,              0.1599,            0.081184,             0.04489,            0.007864,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027003,            0.010694,                   0,             0.27703,             0.38095,             0.27092,             0.13614,            0.044069,           0.0074452,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.026958,             0.01042,                   0,              0.3827,             0.52381,             0.42761,             0.19856,            0.042629,           0.0054784,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026986,             0.01095,                   0,             0.29307,             0.57143,             0.28641,             0.13667,            0.041409,           0.0058195,                   0,            0.005347,            0.005347,            0.005347
                  49,              0.0265,            0.010444,                   0,             0.27084,             0.57143,             0.27703,             0.11181,            0.046666,           0.0064031,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025899,           0.0093644,                   0,             0.28206,             0.57143,             0.22648,             0.11273,             0.04417,           0.0070187,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025277,           0.0098416,                   0,             0.23291,             0.42857,             0.23917,             0.11479,            0.046867,           0.0075449,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.02474,           0.0098216,                   0,             0.21521,             0.52381,             0.14606,            0.062748,            0.048914,           0.0086376,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.024645,            0.010194,                   0,             0.26595,             0.38095,             0.19155,            0.077742,            0.049419,           0.0086054,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025709,           0.0094373,                   0,             0.24995,             0.33333,             0.17841,            0.080904,            0.050224,           0.0084048,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025331,           0.0099163,                   0,             0.28882,             0.33333,             0.23113,             0.10572,            0.046681,           0.0082038,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025013,            0.010143,                   0,             0.24902,             0.33333,             0.20083,             0.10077,            0.045254,           0.0080371,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.02526,            0.009905,                   0,             0.23576,             0.52381,             0.21827,            0.095643,            0.045482,           0.0074013,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022986,           0.0098264,                   0,             0.22004,             0.61905,             0.19452,            0.088353,            0.042869,           0.0077747,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023409,           0.0097358,                   0,             0.23944,             0.57143,             0.23658,             0.10481,            0.044695,            0.007111,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.021896,           0.0089621,                   0,               0.258,             0.52381,             0.18923,            0.076322,            0.046638,            0.008186,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.023073,             0.00994,                   0,             0.30582,             0.57143,             0.22375,            0.085818,            0.046971,            0.007624,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022572,           0.0091779,                   0,             0.28669,             0.51691,             0.21161,             0.09196,            0.045085,           0.0080853,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.02272,           0.0091318,                   0,             0.26902,             0.57143,             0.20726,            0.075015,            0.048729,           0.0082346,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022175,           0.0092649,                   0,             0.29313,             0.42857,             0.24628,            0.095175,             0.04592,           0.0083424,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022124,           0.0093248,                   0,             0.23531,             0.52381,             0.23098,            0.098565,            0.046144,           0.0083604,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.02238,           0.0094587,                   0,             0.37435,             0.33333,             0.32996,             0.14825,             0.04827,           0.0082602,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021851,           0.0089125,                   0,             0.38499,             0.38095,             0.31869,              0.1257,            0.047274,           0.0083398,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021353,           0.0091659,                   0,             0.29567,             0.38095,             0.24495,            0.096388,            0.049463,           0.0083301,                   0,            0.003367,            0.003367,            0.003367
